num	date	subjStartTime	trialNum	stimName	flipLeft	inView	response	rt
1	2021.11.25	21:22:31	143	inanimate/lager.jpg	false	true	right	1.832
1	2021.11.25	21:22:31	144	social/manufacturing.jpg	true	true	right	1.679
1	2021.11.25	21:22:31	145	inanimate/gentle.jpg	false	true	left	1.48
1	2021.11.25	21:22:31	146	inanimate/fattening.jpg	false	true	left	1.267
1	2021.11.25	21:22:31	147	inanimate/eroding.jpg	true	true	left	1.05
1	2021.11.25	21:22:31	148	social/observational.jpg	false	true	right	3.856
1	2021.11.25	21:22:31	149	social/eroding.jpg	true	true	left	2.455
1	2021.11.25	21:22:31	150	social/smallholders.jpg	true	true	left	5.846
1	2021.11.25	21:22:31	151	inanimate/wiry.jpg	true	true	right	1.405
1	2021.11.25	21:22:31	152	social/receptions.jpg	true	true	right	10.32
1	2021.11.25	21:22:31	153	social/stagecoach.jpg	true	true	left	3.007
1	2021.11.25	21:22:31	154	social/icelandic.jpg	true	true	right	2.058
1	2021.11.25	21:22:31	155	social/simulators.jpg	true	true	right	5.486
1	2021.11.25	21:22:31	156	social/solids.jpg	true	true	right	2.755
num	date	subjStartTime	trialNum	stimName	flipLeft	inView	response	rt
2	2021.11.25	21:31:49	1	inanimate/nicotine.jpg	false	true	left	4.152
2	2021.11.25	21:31:49	2	inanimate/icelandic.jpg	false	true	left	2.502
2	2021.11.25	21:31:49	3	inanimate/receptions.jpg	true	true	right	5.467
2	2021.11.25	21:31:49	4	inanimate/retrial.jpg	true	true	left	4.558
2	2021.11.25	21:31:49	5	inanimate/uneven.jpg	false	true	right	5.91
2	2021.11.25	21:31:49	6	inanimate/veranda.jpg	true	true	left	5.326
2	2021.11.25	21:31:49	7	inanimate/departmental.jpg	false	true	right	4.268
2	2021.11.25	21:31:49	8	inanimate/chopping.jpg	false	true	right	4.135
2	2021.11.25	21:31:49	9	social/mastering.jpg	false	true	right	3.561
2	2021.11.25	21:31:49	10	inanimate/enlightened.jpg	false	true	left	9.351
2	2021.11.25	21:31:49	11	social/glittering.jpg	true	true	right	5.45
2	2021.11.25	21:31:49	12	social/saloon.jpg	false	true	left	4.947
2	2021.11.25	21:31:49	13	inanimate/graduated.jpg	true	true	left	6.66
2	2021.11.25	21:31:49	14	inanimate/altars.jpg	true	true	left	2.763
2	2021.11.25	21:31:49	15	social/uneven.jpg	false	true	right	2.537
2	2021.11.25	21:31:49	16	social/whistle.jpg	true	true	left	2.517
2	2021.11.25	21:31:49	17	inanimate/aprons.jpg	true	true	right	4.011
2	2021.11.25	21:31:49	18	inanimate/tides.jpg	true	true	left	2.004
2	2021.11.25	21:31:49	19	social/international.jpg	false	true	right	6.609
2	2021.11.25	21:31:49	20	social/observational.jpg	true	true	left	5.97
2	2021.11.25	21:31:49	21	inanimate/wharf.jpg	false	true	right	5.686
2	2021.11.25	21:31:49	22	social/wanderer.jpg	false	true	left	2.925
2	2021.11.25	21:31:49	23	inanimate/mastering.jpg	false	true	right	5.422
2	2021.11.25	21:31:49	24	inanimate/closely.jpg	false	true	left	5.799
2	2021.11.25	21:31:49	25	inanimate/water.jpg	false	true	right	5.49
2	2021.11.25	21:31:49	26	social/suction.jpg	false	true	left	4.429
2	2021.11.25	21:31:49	27	social/trails.jpg	true	true	right	4.639
2	2021.11.25	21:31:49	28	inanimate/saloon.jpg	false	true	right	4.737
2	2021.11.25	21:31:49	29	social/simulators.jpg	false	true	left	8.157
2	2021.11.25	21:31:49	30	inanimate/lager.jpg	true	true	left	1.843
2	2021.11.25	21:31:49	31	inanimate/mustered.jpg	true	true	left	2.887
2	2021.11.25	21:31:49	32	inanimate/allotments.jpg	true	true	left	7.509
2	2021.11.25	21:31:49	33	inanimate/lifts.jpg	false	true	left	3.475
2	2021.11.25	21:31:49	34	social/allotments.jpg	true	true	right	4.619
2	2021.11.25	21:31:49	35	inanimate/jews.jpg	false	true	right	6.943
2	2021.11.25	21:31:49	36	social/lifts.jpg	false	true	left	4.001
2	2021.11.25	21:31:49	37	inanimate/manufacturing.jpg	false	true	right	5.451
2	2021.11.25	21:31:49	38	social/irretrievably.jpg	true	true	left	13.214
2	2021.11.25	21:31:49	39	social/vanilla.jpg	true	true	right	6.818
2	2021.11.25	21:31:49	40	inanimate/deteriorating.jpg	true	true	left	17.337
2	2021.11.25	21:31:49	41	social/deteriorating.jpg	true	true	right	3.46
2	2021.11.25	21:31:49	42	inanimate/buses.jpg	false	true	right	10.842
2	2021.11.25	21:31:49	43	social/gentle.jpg	true	true	right	3.279
2	2021.11.25	21:31:49	44	social/straw.jpg	true	true	left	2.09
2	2021.11.25	21:31:49	45	inanimate/aristocracy.jpg	false	true	left	3.691
2	2021.11.25	21:31:49	46	social/icelandic.jpg	false	true	right	5.701
2	2021.11.25	21:31:49	47	inanimate/simulators.jpg	false	true	left	5.55
2	2021.11.25	21:31:49	48	inanimate/fountain.jpg	false	true	left	4.364
2	2021.11.25	21:31:49	49	social/pillow.jpg	false	true	left	4.198
2	2021.11.25	21:31:49	50	inanimate/contractor.jpg	true	true	left	1.888
2	2021.11.25	21:31:49	51	inanimate/car.jpg	true	true	left	4.584
2	2021.11.25	21:31:49	52	social/projecting.jpg	false	true	right	4.945
2	2021.11.25	21:31:49	53	social/ethnic.jpg	false	true	right	5.21
2	2021.11.25	21:31:49	54	inanimate/whistle.jpg	true	true	right	4.161
2	2021.11.25	21:31:49	55	inanimate/living.jpg	true	true	right	5.562
2	2021.11.25	21:31:49	56	social/inmates.jpg	false	true	left	10.109
2	2021.11.25	21:31:49	57	inanimate/discoloured.jpg	true	true	left	6.013
2	2021.11.25	21:31:49	58	inanimate/fattening.jpg	true	true	right	7.572
2	2021.11.25	21:31:49	59	inanimate/budding.jpg	false	true	left	2.289
2	2021.11.25	21:31:49	60	inanimate/burials.jpg	false	true	left	11.521
2	2021.11.25	21:31:49	61	inanimate/irretrievably.jpg	true	true	left	5.723
2	2021.11.25	21:31:49	62	social/depressing.jpg	true	true	left	9.352
2	2021.11.25	21:31:49	63	social/resigned.jpg	false	true	right	10.832
2	2021.11.25	21:31:49	64	inanimate/russet.jpg	true	true	right	8.443
2	2021.11.25	21:31:49	65	social/burials.jpg	false	true	left	10.768
2	2021.11.25	21:31:49	66	social/aristocracy.jpg	false	true	right	12.347
2	2021.11.25	21:31:49	67	inanimate/trails.jpg	true	true	right	7.757
2	2021.11.25	21:31:49	68	social/solids.jpg	false	true	left	7.856
2	2021.11.25	21:31:49	69	social/tides.jpg	true	true	left	8.237
2	2021.11.25	21:31:49	70	social/wear.jpg	false	true	left	4.106
2	2021.11.25	21:31:49	71	social/discoloured.jpg	true	true	left	5.017
2	2021.11.25	21:31:49	72	inanimate/suction.jpg	false	true	left	10.588
2	2021.11.25	21:31:49	73	social/enlightened.jpg	false	true	left	9.604
2	2021.11.25	21:31:49	74	inanimate/resigned.jpg	false	true	right	7.521
2	2021.11.25	21:31:49	75	inanimate/solids.jpg	false	true	right	11.362
2	2021.11.25	21:31:49	76	inanimate/eroding.jpg	false	true	right	6.708
2	2021.11.25	21:31:49	77	social/fountain.jpg	false	true	left	3.583
2	2021.11.25	21:31:49	78	social/graduated.jpg	true	true	right	3.853
2	2021.11.25	21:31:49	79	social/castor.jpg	true	true	right	6.881
2	2021.11.25	21:31:49	80	inanimate/runaway.jpg	true	true	right	2.081
2	2021.11.25	21:31:49	81	social/lager.jpg	true	true	left	2.69
2	2021.11.25	21:31:49	82	social/wharf.jpg	false	true	left	2.971
2	2021.11.25	21:31:49	83	inanimate/depressing.jpg	true	true	right	4.206
2	2021.11.25	21:31:49	84	social/living.jpg	true	true	left	3.953
2	2021.11.25	21:31:49	85	social/fragrant.jpg	false	true	right	2.102
2	2021.11.25	21:31:49	86	social/drummers.jpg	true	true	left	3.072
2	2021.11.25	21:31:49	87	inanimate/smallholders.jpg	true	true	right	5.341
2	2021.11.25	21:31:49	88	inanimate/inmates.jpg	false	true	left	4.369
2	2021.11.25	21:31:49	89	inanimate/knitters.jpg	false	true	right	7.016
2	2021.11.25	21:31:49	90	inanimate/clambering.jpg	true	true	right	2.364
2	2021.11.25	21:31:49	91	inanimate/vocals.jpg	true	true	right	4.488
2	2021.11.25	21:31:49	92	inanimate/stagecoach.jpg	true	true	right	7.221
2	2021.11.25	21:31:49	93	inanimate/desert.jpg	false	true	left	7.967
2	2021.11.25	21:31:49	94	social/inhabited.jpg	false	true	left	2.987
2	2021.11.25	21:31:49	95	social/jews.jpg	false	true	right	4.722
2	2021.11.25	21:31:49	96	inanimate/wiry.jpg	true	true	left	11.649
2	2021.11.25	21:31:49	97	social/contractor.jpg	true	true	left	3.749
2	2021.11.25	21:31:49	98	social/detecting.jpg	false	true	right	3.012
2	2021.11.25	21:31:49	99	inanimate/castor.jpg	true	true	right	8.301
2	2021.11.25	21:31:49	100	social/buses.jpg	false	true	left	4.649
2	2021.11.25	21:31:49	101	social/aprons.jpg	true	true	right	3.242
2	2021.11.25	21:31:49	102	inanimate/international.jpg	false	true	left	18.309
2	2021.11.25	21:31:49	103	inanimate/gentle.jpg	true	true	left	3.488
2	2021.11.25	21:31:49	104	inanimate/infected.jpg	true	true	left	2.44
2	2021.11.25	21:31:49	105	social/smallholders.jpg	true	true	right	6.845
2	2021.11.25	21:31:49	106	inanimate/projecting.jpg	false	true	left	3.331
